tx,rx_rssi,fp_rssi,range,nlos
2,-78.91,-90.01,7.125799,1
2,-78.14,-89.15,7.158632,1
2,-78.49,-88.57,7.182084,1
2,-77.84,-88.67,7.186774,1
2,-78.41,-88.86,7.172703,1
2,-79.18,-88.27,7.205535,1
2,-78.74,-89.29,7.205535,1
2,-77.5,-88.57,7.210226,1
2,-78.4,-88.98,7.196155,1
2,-77.7,-90.69,7.26651,1
2,-78.51,-94.8,7.308723,1
2,-78.05,-96.69,7.932541,1
2,-75.58,-88.07,7.210226,1
2,-74.55,-87.93,7.280581,1
2,-73.95,-88.82,7.243058,1
2,-74.07,-89.21,7.205535,1
2,-74.65,-89.29,7.238368,1
2,-73.55,-88.45,7.252439,1
2,-75.0,-88.86,7.214916,1
2,-74.15,-88.29,7.285271,1
2,-75.52,-88.51,7.257129,1
2,-75.1,-88.48,7.219606,1
2,-74.29,-88.94,7.26182,1
2,-76.09,-88.63,7.228987,1
2,-74.43,-88.59,7.200845,1
2,-74.7,-89.22,7.243058,1
2,-75.09,-89.24,7.200845,1
2,-73.62,-88.3,7.214916,1
2,-75.03,-88.49,7.214916,1
2,-74.18,-89.91,7.163322,1
2,-75.48,-89.75,7.172703,1
2,-76.08,-89.06,7.168012,1
2,-73.9,-84.84,7.172703,1
2,-76.79,-90.72,7.224297,1
2,-76.09,-87.86,7.243058,1
2,-74.91,-88.28,7.257129,1
2,-77.5,-90.03,7.186774,1
2,-75.77,-88.94,7.252439,1
2,-75.97,-89.53,7.214916,1
2,-76.59,-89.5,7.224297,1
2,-74.25,-83.84,7.088276,1
2,-74.43,-94.46,6.567647,1
2,-73.35,-91.99,6.384723,1
2,-74.43,-93.54,6.154895,1
2,-75.77,-94.03,6.122063,1
2,-75.81,-91.57,5.929758,1
2,-74.08,-97.04,5.789048,1
2,-72.98,-90.83,5.995423,1
2,-73.73,-90.69,5.798428,1
2,-73.83,-94.16,5.29656,1
2,-72.26,-89.93,5.343464,1
2,-72.8,-90.06,4.799382,1
2,-71.53,-90.9,4.611768,1
2,-71.16,-79.03,4.986997,1
2,-69.0,-80.16,4.142732,1
2,-69.34,-80.89,4.180255,1
2,-69.11,-76.4,4.288133,1
2,-69.66,-74.12,4.227159,1
2,-71.45,-78.99,4.11459,1
2,-68.6,-76.0,4.170874,1
2,-68.91,-93.37,3.575199,1
2,-66.79,-75.18,3.673697,1
2,-67.99,-75.66,3.964499,1
2,-68.89,-80.33,3.626793,1
2,-67.76,-80.42,3.748742,1
2,-69.91,-93.67,4.016093,1
2,-71.2,-80.11,4.733717,1
2,-76.96,-88.93,4.278753,1
2,-78.55,-105.17,4.50389,1
2,-74.17,-89.85,5.343464,1
2,-71.79,-92.07,5.362225,1
2,-74.59,-96.69,5.099565,1
2,-73.38,-83.3,5.277799,1
2,-75.14,-90.83,5.348154,1
2,-77.6,-94.12,5.68586,1
2,-79.11,-92.41,6.436317,1
2,-75.21,-99.51,5.873474,1
2,-74.46,-82.33,6.408175,1
2,-77.35,-90.97,6.99916,1
2,-76.97,-93.71,7.00385,1
2,-77.98,-100.59,7.257129,1
2,-79.38,-101.78,7.196155,1
2,-81.21,-94.9,7.730855,1
2,-74.61,-88.21,7.017921,1
2,-74.85,-88.74,6.731809,1
2,-74.65,-91.81,6.558266,1
2,-73.79,-88.61,6.544195,1
2,-74.27,-82.17,6.853759,1
2,-74.44,-91.22,6.112682,1
2,-70.26,-81.39,6.051708,1
2,-70.39,-79.79,5.94852,1
2,-71.43,-83.66,5.638956,1
2,-74.01,-88.77,5.29656,1
2,-68.77,-82.46,5.216824,1
2,-70.56,-80.41,5.076113,1
2,-68.57,-76.87,4.888499,1
2,-69.34,-76.79,4.517961,1
2,-71.21,-76.29,4.405392,1
2,-67.87,-76.74,4.625839,1
2,-68.31,-76.66,4.255301,1
2,-67.51,-74.58,4.095829,1
2,-69.57,-80.8,3.992641,1
2,-67.9,-74.04,3.955118,1
2,-69.21,-75.78,4.255301,1
2,-70.6,-78.9,4.302204,1
2,-70.65,-76.54,4.546103,1
2,-72.72,-88.18,4.822834,1
2,-71.6,-91.94,5.141778,1
2,-75.19,-97.95,5.141778,1
2,-77.72,-98.21,5.259037,1
2,-78.96,-93.66,5.456032,1
2,-76.69,-95.19,5.887545,1
2,-83.25,-93.6,6.370652,1
2,-80.1,-88.95,6.365961,1
2,-81.47,-96.42,7.092967,1
2,-83.0,-92.75,6.365961,1
2,-80.76,-91.8,7.163322,1
2,-80.07,-93.7,6.628621,1
2,-79.76,-94.47,6.956946,1
2,-79.34,-91.31,6.811545,1
2,-72.89,-87.87,6.778713,1
2,-72.91,-96.62,6.248703,1
2,-71.91,-86.28,6.075159,1
2,-74.25,-93.81,5.681169,1
2,-71.89,-81.05,5.643646,1
2,-69.21,-77.36,5.56391,1
2,-68.87,-76.97,5.343464,1
2,-71.64,-85.35,5.155849,1
2,-71.2,-85.07,5.104255,1
2,-73.72,-88.51,5.981352,1
2,-75.38,-93.43,5.127707,1
2,-72.86,-90.19,5.348154,1
2,-73.48,-94.03,4.991687,1
2,-73.61,-93.76,5.320012,1
2,-74.46,-95.19,4.986997,1
2,-71.75,-91.81,4.963545,1
2,-71.57,-100.15,4.705575,1
2,-70.98,-89.2,5.82657,1
2,-71.15,-92.46,5.601433,1
2,-72.37,-104.71,5.137088,1
2,-74.01,-94.61,5.582672,1
2,-79.93,-102.58,5.549839,1
2,-74.68,-95.42,6.023565,1
2,-76.61,-92.54,6.164276,1
2,-77.45,-102.88,6.070469,1
2,-79.19,-101.29,6.441007,1
2,-81.29,-96.54,6.497291,1
2,-84.46,-95.55,6.694286,1
2,-85.26,-98.31,6.985089,1
2,-83.0,-90.15,7.510408,1
2,-84.59,-90.46,7.688642,1
2,-88.14,-99.92,8.725211,1
2,-87.54,-103.38,8.204581,1
2,-89.55,-99.4,8.734592,1
2,-91.6,-107.02,8.289008,1
2,-90.59,-100.78,8.720521,1
2,-88.16,-108.68,8.420338,1
2,-88.8,-105.52,8.471932,1
2,-88.51,-110.53,8.603262,1
2,-91.15,-104.43,9.034774,1
2,-89.12,-100.47,10.099485,1
2,-85.49,-96.0,8.823708,1
2,-88.1,-102.38,8.640785,1
2,-84.98,-103.22,8.471932,1
2,-85.4,-101.0,8.44848,1
2,-82.01,-99.81,8.31246,1
2,-82.08,-100.37,8.682998,1
2,-79.86,-102.43,9.025394,1
2,-83.59,-105.71,8.800257,1
2,-83.03,-99.44,8.837779,1
2,-82.6,-107.34,9.072297,1
2,-81.98,-108.27,8.528216,1
2,-84.8,-102.67,8.340602,1
2,-84.41,-102.61,8.32184,1
2,-85.69,-101.77,8.289008,1
2,-86.04,-101.09,8.298388,1
2,-87.0,-100.0,8.289008,1
2,-84.84,-103.48,8.392196,1
2,-81.48,-102.41,8.232723,1
2,-84.62,-96.6,8.157678,1
2,-89.09,-103.37,8.223343,1
2,-84.74,-107.28,8.195201,1
2,-87.35,-101.97,8.912825,1
2,-85.5,-109.44,8.607952,1
2,-82.21,-108.2,8.720521,1
2,-83.39,-101.43,8.31715,1
2,-83.52,-94.77,8.5845,1
2,-83.22,-100.61,8.077942,1
2,-79.88,-99.17,8.040419,1
2,-78.62,-99.42,7.79652,1
2,-77.01,-102.25,7.698023,1
2,-82.56,-97.52,7.955992,1
2,-81.77,-91.25,7.857495,1
2,-77.02,-89.81,7.932541,1
2,-79.49,-90.32,7.641738,1
2,-76.48,-92.83,7.52917,1
2,-78.12,-92.7,7.350936,1
2,-77.03,-95.49,6.703667,1
2,-74.86,-99.39,6.394104,1
2,-75.11,-92.39,6.562956,1
2,-69.24,-85.66,6.065779,1
2,-69.82,-83.36,5.770286,1
2,-69.1,-88.42,5.615504,1
2,-70.5,-87.27,5.592053,1
2,-70.22,-91.74,5.338773,1
2,-71.04,-89.04,5.207443,1
2,-70.97,-83.77,5.352844,1
2,-70.18,-95.53,5.099565,1
2,-72.32,-88.88,5.29187,1
2,-73.89,-95.26,5.02921,1
2,-75.17,-98.28,4.785311,1
2,-74.25,-94.41,5.240276,1
2,-78.23,-89.93,5.076113,1
2,-80.6,-111.27,5.329393,1
2,-77.84,-92.67,4.911951,1
2,-77.61,-90.35,4.911951,1
2,-77.87,-91.93,5.071423,1
2,-73.7,-85.11,5.338773,1
2,-75.78,-87.64,5.198063,1
2,-73.89,-86.76,5.277799,1
2,-74.59,-98.29,5.413819,1
2,-77.52,-94.96,5.634266,1
2,-81.12,-90.21,6.281535,1
2,-78.71,-87.42,6.450388,1
2,-79.19,-88.07,6.422246,1
2,-81.28,-98.44,6.60517,1
2,-80.32,-89.18,6.638002,1
2,-84.5,-100.6,6.600479,1
2,-77.61,-84.96,6.975708,1
2,-76.11,-82.79,7.064825,1
2,-83.41,-88.84,7.327485,1
2,-83.74,-94.65,8.05918,1
2,-77.69,-90.42,7.041373,1
2,-74.15,-84.23,7.107038,1
2,-77.32,-87.3,6.924114,1
2,-71.46,-86.63,6.830307,1
2,-77.25,-93.62,6.3472,1
2,-74.79,-88.43,6.272154,1
2,-77.09,-88.72,6.08454,1
2,-69.96,-87.68,5.95321,1
2,-74.25,-84.37,5.770286,1
2,-71.1,-86.04,5.671789,1
2,-70.98,-90.91,5.573291,1
2,-73.6,-83.66,5.535768,1
2,-72.3,-84.42,5.315321,1
2,-72.35,-87.94,5.315321,1
2,-75.71,-97.61,4.89788,1
2,-73.94,-90.96,4.813453,1
2,-70.0,-80.38,4.785311,1
2,-69.59,-81.19,4.602387,1
2,-69.66,-84.42,4.485128,1
2,-69.85,-79.5,4.189636,1
2,-70.55,-87.06,4.086448,1
2,-68.24,-89.38,3.98795,1
2,-68.9,-90.08,3.98795,1
2,-68.98,-80.34,4.062996,1
2,-68.85,-81.7,4.067687,1
2,-68.24,-83.36,4.006712,1
2,-69.35,-86.58,3.997331,1
2,-69.1,-87.04,4.006712,1
2,-69.26,-88.55,4.044235,1
2,-67.94,-84.43,4.025473,1
2,-68.8,-89.55,4.002022,1
2,-67.91,-90.9,3.959808,1
2,-70.14,-91.67,3.950428,1
2,-69.69,-90.13,3.941047,1
2,-70.05,-91.88,3.98326,1
2,-68.75,-90.46,3.973879,1
2,-68.71,-90.28,4.002022,1
2,-68.8,-92.52,3.908214,1
2,-69.76,-90.29,3.992641,1
2,-68.44,-93.48,3.842549,1
2,-68.7,-89.89,3.992641,1
2,-68.02,-94.71,3.875382,1
2,-68.92,-88.68,3.950428,1
2,-67.97,-91.08,3.861311,1
2,-69.94,-92.22,3.941047,1
2,-69.24,-84.99,3.969189,1
2,-70.67,-76.5,4.072377,1
2,-74.26,-91.35,4.555484,1
2,-71.89,-94.15,4.170874,1
2,-75.88,-99.22,4.320966,1
2,-75.98,-89.99,4.682123,1
2,-73.36,-79.69,4.827524,1
2,-75.19,-88.73,5.010448,1
2,-73.03,-94.74,4.621149,1
2,-72.38,-91.28,5.334083,1
2,-76.14,-94.32,5.024519,1
2,-73.75,-92.29,5.94852,1
2,-78.18,-95.68,5.69055,1
2,-80.86,-104.45,5.526388,1
2,-81.95,-95.81,5.892235,1
2,-80.56,-90.67,6.22056,1
2,-87.42,-105.18,6.469149,1
2,-79.73,-92.82,6.675525,1
2,-81.02,-89.94,6.774022,1
2,-79.16,-90.98,6.863139,1
2,-81.21,-104.02,6.910043,1
2,-80.08,-93.7,7.407221,1
2,-84.42,-93.37,7.651119,1
2,-83.87,-101.42,7.472886,1
2,-78.27,-96.11,7.294652,1
2,-72.02,-78.21,7.52917,1
2,-74.26,-84.55,7.069515,1
2,-76.42,-83.62,6.811545,1
2,-77.49,-91.01,6.520743,1
2,-77.5,-97.06,5.962591,1
2,-78.94,-87.94,5.934449,1
2,-74.5,-89.89,5.68586,1
2,-73.36,-90.64,5.512316,1
2,-70.48,-86.85,5.380986,1
2,-70.57,-85.38,5.127707,1
2,-68.27,-75.05,5.03859,1
2,-69.32,-85.72,4.808763,1
2,-67.8,-75.13,4.963545,1
2,-68.54,-76.19,4.982306,1
2,-68.12,-72.66,4.729027,1
2,-69.76,-81.11,4.583626,1
2,-69.24,-74.74,4.663362,1
2,-71.34,-78.07,4.536722,1
2,-67.97,-75.21,4.738408,1
2,-71.17,-97.98,3.748742,1
2,-68.68,-79.24,4.283443,1
2,-68.41,-79.11,4.133352,1
2,-68.38,-77.51,3.973879,1
2,-68.39,-73.87,4.485128,1
2,-70.98,-78.09,4.311585,1
2,-75.52,-88.0,4.536722,1
2,-72.59,-95.99,4.574245,1
2,-74.28,-86.19,5.155849,1
2,-74.83,-94.25,4.822834,1
2,-76.09,-90.82,4.883809,1
2,-73.27,-90.8,5.015139,1
2,-73.24,-105.9,5.971971,1
2,-72.83,-100.12,4.485128,1
2,-73.7,-102.29,4.583626,1
2,-71.14,-97.78,4.700885,1
2,-70.05,-88.97,4.968235,1
2,-69.97,-81.05,5.062042,1
2,-70.6,-79.76,5.259037,1
2,-71.54,-79.9,5.366915,1
2,-74.47,-90.47,5.82657,1
2,-76.75,-104.81,6.516053,1
2,-77.68,-103.44,6.173657,1
2,-78.82,-91.02,6.99916,1
2,-80.67,-92.22,6.562956,1
2,-86.45,-92.22,7.2712,1
2,-87.08,-96.17,7.163322,1
2,-88.24,-93.62,7.411911,1
2,-89.52,-107.23,7.627667,1
2,-91.61,-98.33,9.053536,1
2,-85.76,-92.09,8.739282,1
2,-90.16,-103.72,8.607952,1
2,-91.41,-103.51,8.884683,1
2,-92.21,-110.83,9.513191,1
2,-91.79,-110.94,9.353719,1
2,-89.92,-103.98,8.931587,1
2,-89.65,-99.09,8.837779,1
2,-88.43,-99.16,8.992561,1
2,-89.33,-96.44,8.955038,1
2,-90.9,-108.9,8.504764,1
2,-91.14,-107.38,8.636094,1
2,-88.44,-97.35,10.099485,1
2,-88.65,-105.58,9.217698,1
2,-86.16,-95.89,9.541333,1
2,-83.84,-96.04,9.330267,1
2,-83.84,-95.42,8.983181,1
2,-88.92,-100.54,8.71583,1
2,-84.22,-107.29,8.162368,1
2,-89.77,-110.55,7.92316,1
2,-81.91,-100.77,8.378125,1
2,-84.07,-96.23,8.626713,1
2,-79.91,-92.64,8.092013,1
2,-79.42,-98.8,7.749617,1
2,-79.04,-96.9,7.454124,1
2,-78.94,-97.02,7.13518,1
2,-77.18,-96.13,6.919424,1
2,-76.62,-103.08,6.562956,1
2,-78.02,-98.36,6.272154,1
2,-71.69,-88.86,5.981352,1
2,-72.05,-90.3,5.840641,1
2,-70.91,-89.03,5.629575,1
2,-71.83,-86.45,5.587362,1
2,-70.91,-82.26,5.484174,1
2,-70.18,-86.97,5.230895,1
2,-71.18,-93.07,5.202753,1
2,-71.59,-95.06,5.090184,1
2,-72.56,-94.41,5.090184,1
2,-74.27,-98.03,5.198063,1
2,-73.14,-88.62,5.413819,1
2,-77.55,-95.3,5.094875,1
2,-79.56,-93.9,5.207443,1
2,-77.52,-92.81,5.094875,1
2,-78.19,-91.96,4.836905,1
2,-73.07,-85.57,5.108946,1
2,-73.87,-87.73,5.451342,1
2,-76.07,-82.55,5.540459,1
2,-82.55,-95.91,6.380032,1
2,-77.21,-92.61,5.94852,1
2,-83.98,-94.58,6.539505,1
2,-81.42,-88.95,6.398794,1
2,-76.65,-95.13,6.769332,1
2,-80.52,-90.56,6.811545,1
2,-82.56,-93.42,7.055444,1
2,-82.84,-100.91,7.013231,1
2,-79.22,-94.75,7.327485,1
2,-79.31,-98.15,7.210226,1
2,-75.87,-90.24,6.99916,1
2,-75.8,-82.96,6.825616,1
2,-76.08,-95.6,6.112682,1
2,-72.59,-89.44,6.056398,1
2,-70.33,-81.6,5.774976,1
2,-72.38,-89.02,5.465413,1
2,-74.34,-85.61,5.263728,1
2,-72.25,-89.78,5.080804,1
2,-69.77,-88.65,4.77124,1
2,-69.56,-91.36,4.452296,1
2,-70.48,-83.01,4.419463,1
2,-68.89,-78.62,4.236539,1
2,-68.78,-76.66,4.37725,1
2,-67.19,-73.86,4.330347,1
2,-69.29,-80.02,4.283443,1
2,-68.6,-74.02,4.325656,1
2,-68.99,-79.38,4.625839,1
2,-72.22,-92.23,3.98795,1
2,-69.51,-76.18,4.062996,1
2,-67.25,-75.66,4.170874,1
2,-69.0,-88.57,4.37256,1
2,-67.28,-77.11,3.931666,1
2,-68.75,-78.01,4.194326,1
2,-73.02,-81.07,4.236539,1
2,-71.83,-77.38,4.550793,1
2,-74.7,-88.2,4.822834,1
2,-75.7,-90.08,5.174611,1
2,-74.69,-91.33,4.499199,1
2,-71.87,-85.59,5.193372,1
2,-72.63,-92.34,4.804073,1
2,-71.99,-88.64,5.395058,1
2,-70.95,-95.58,5.118326,1
2,-73.04,-94.08,4.827524,1
