tx,rx_rssi,fp_rssi,range,nlos
2,-67.94,-71.24,1.506752,0
2,-68.63,-75.02,1.572417,0
2,-68.77,-74.17,1.553655,0
2,-68.76,-74.91,1.572417,0
2,-67.79,-73.59,1.48799,0
2,-68.97,-73.41,1.60994,0
2,-66.68,-71.68,1.511442,0
2,-69.09,-75.12,1.539584,0
2,-69.06,-74.96,1.572417,0
2,-67.85,-73.07,1.520823,0
2,-68.35,-73.13,1.572417,0
2,-67.47,-72.59,1.544275,0
2,-68.57,-73.31,1.520823,0
2,-69.85,-74.59,1.563036,0
2,-67.04,-71.63,1.567726,0
2,-68.79,-72.58,1.563036,0
2,-70.01,-76.4,1.502061,0
2,-67.92,-72.72,1.577107,0
2,-70.38,-73.06,1.520823,0
2,-69.32,-73.51,1.577107,0
2,-66.33,-70.76,1.558346,0
2,-68.79,-73.67,1.595868,0
2,-68.72,-73.37,1.525513,0
2,-67.83,-72.06,1.534894,0
2,-68.2,-71.59,1.558346,0
2,-68.16,-73.56,1.525513,0
2,-68.12,-71.96,1.563036,0
2,-66.84,-71.76,1.567726,0
2,-68.52,-73.56,1.548965,0
2,-68.87,-74.27,1.516132,0
2,-69.72,-73.27,1.497371,0
2,-68.7,-73.36,1.534894,0
2,-69.82,-73.44,1.525513,0
2,-67.63,-72.31,1.680295,0
2,-69.79,-72.83,1.600559,0
2,-68.63,-72.46,1.656843,0
2,-67.24,-73.76,2.032072,0
2,-67.92,-79.26,2.435442,0
2,-69.2,-95.21,2.693412,0
2,-69.14,-97.03,2.805981,0
2,-69.18,-88.45,3.176519,0
2,-67.27,-81.7,3.270326,0
2,-67.73,-83.93,3.828478,0
2,-67.89,-75.42,3.711219,0
2,-69.05,-96.35,4.306895,0
2,-67.82,-82.07,4.283443,0
2,-68.1,-72.25,5.16523,0
2,-68.09,-74.76,4.297514,0
2,-69.81,-73.68,3.922285,0
2,-67.5,-72.84,3.762813,0
2,-68.28,-72.36,3.645554,0
2,-68.47,-72.33,3.420417,0
2,-67.01,-73.73,3.293778,0
2,-68.38,-75.71,3.106163,0
2,-69.03,-76.99,2.984214,0
2,-68.32,-78.61,2.53394,0
2,-68.15,-73.81,2.444823,0
2,-68.62,-76.45,2.238447,0
2,-67.05,-71.28,2.083666,0
2,-67.54,-74.27,2.060214,0
2,-67.73,-72.56,1.821006,0
2,-68.4,-73.28,1.661533,0
2,-68.41,-72.25,1.703747,0
2,-67.84,-75.19,1.305066,0
2,-66.79,-71.52,0.897005,0
2,-65.99,-72.78,0.676559,0
2,-64.38,-72.66,0.56399,0
2,-67.43,-71.97,0.540538,0
2,-64.94,-71.52,0.746914,0
2,-64.42,-71.92,0.934528,0
2,-65.8,-71.57,1.075239,0
2,-66.47,-72.79,1.262853,0
2,-66.25,-74.02,1.159665,0
2,-68.0,-74.57,1.094,0
2,-66.21,-72.83,1.08931,0
2,-68.07,-72.96,1.197188,0
2,-66.15,-72.62,1.173736,0
2,-68.57,-74.46,1.333209,0
2,-67.31,-73.48,1.21595,0
2,-68.3,-75.84,1.300376,0
2,-68.08,-88.2,1.558346,0
2,-68.29,-76.61,2.585534,0
2,-68.17,-84.46,2.252518,0
2,-68.52,-90.31,2.735625,0
2,-69.21,-92.89,3.120234,0
2,-69.44,-89.5,2.890407,0
2,-69.36,-92.99,3.659626,0
2,-67.8,-92.03,3.654935,0
2,-69.48,-91.44,3.790956,0
2,-70.2,-90.26,4.081758,0
2,-68.51,-98.17,4.11928,0
2,-68.59,-94.79,4.330347,0
2,-68.04,-97.01,4.438225,0
2,-67.58,-97.99,5.244966,0
2,-68.69,-88.64,4.536722,0
2,-68.19,-74.23,4.288133,0
2,-68.44,-75.31,4.138042,0
2,-67.49,-72.39,3.870692,0
2,-68.53,-72.33,3.683077,0
2,-67.75,-76.64,3.58458,0
2,-68.05,-80.3,3.382894,0
2,-66.41,-75.76,3.228113,0
2,-68.17,-80.61,2.988904,0
2,-68.04,-86.37,2.698102,0
2,-67.35,-73.62,2.505798,0
2,-68.25,-72.96,2.27597,0
2,-69.12,-73.61,2.154021,0
