tx,rx_rssi,fp_rssi,range,nlos
2,-84.01,-101.89,7.810591,1
2,-84.63,-99.73,6.652073,1
2,-88.41,-100.72,7.257129,1
2,-90.6,-101.91,7.425982,1
2,-91.2,-104.01,7.937231,1
2,-92.57,-104.76,8.007586,1
2,-96.2,-106.58,8.134226,1
2,-91.5,-94.03,11.750491,1
2,-98.21,-106.06,11.239242,1
2,-97.54,-100.9,12.618207,1
2,-101.43,-110.35,12.111649,1
2,-100.85,-111.3,12.636969,1
2,-100.03,-109.43,11.891202,1
2,-99.38,-108.58,15.244807,1
2,-99.86,-107.41,15.479325,1
2,-98.15,-111.25,13.743893,1
2,-99.24,-107.68,13.997172,1
2,-99.69,-111.98,14.461517,1
2,-100.01,-110.07,14.433375,1
2,-99.48,-111.74,13.288928,1
2,-93.89,-107.82,12.318024,1
2,-96.29,-108.96,11.272075,1
2,-95.7,-108.81,12.575994,1
2,-98.25,-108.66,12.505639,1
2,-97.77,-108.49,13.514065,1
2,-97.43,-110.44,12.552542,1
2,-95.58,-109.38,12.688562,1
2,-97.5,-111.05,11.633232,1
2,-96.95,-112.95,11.651994,1
2,-96,-107.62,12.998126,1
2,-96.62,-112.3,12.547852,1
2,-94.3,-112.02,10.610734,1
2,-95.52,-111.22,10.864014,1
2,-98.24,-106.58,11.262694,1
2,-92.19,-108.49,9.719567,1
2,-90.67,-105.79,9.283363,1
2,-90.92,-111.44,9.902491,1
2,-93.56,-112.44,9.836826,1
2,-81.93,-103.4,8.518835,1
2,-90.88,-105.29,8.565739,1
2,-82.77,-105.49,8.260866,1
2,-81.82,-103.26,7.13987,1
2,-84.99,-102.19,6.802165,1
2,-86.83,-101.17,6.647383,1
2,-83,-94.01,7.280581,1
2,-83.45,-96.65,7.721475,1
2,-68.45,-73.85,5.793738,1
2,-74.76,-82.01,6.164276,1
2,-79.5,-99.22,6.638002,1
2,-86.45,-92.49,6.35189,1
2,-81.04,-106.72,6.783403,1
2,-80.55,-101.65,7.477576,1
2,-84.89,-103.68,7.871566,1
2,-92.09,-104.78,7.782449,1
2,-97.25,-104.62,8.364053,1
2,-93.61,-110.66,9.222389,1
2,-99.87,-109.48,9.100439,1
2,-96.72,-109.91,10.770207,1
2,-103.17,-108.86,12.866796,1
2,-98.98,-102.35,11.919344,1
2,-96.49,-107.72,10.324623,1
2,-96.36,-109.87,10.929679,1
2,-95.4,-103.15,10.535689,1
2,-96.03,-108.59,10.831181,1
2,-92.92,-105.29,9.789922,1
2,-92.88,-98.36,9.564785,1
2,-92.22,-99.79,8.776805,1
2,-88.47,-99.77,8.729901,1
2,-90.46,-110.11,9.030084,1
2,-94.11,-100.19,8.500074,1
2,-88.43,-103.55,8.232723,1
2,-84.63,-102.72,7.979444,1
2,-82.23,-95.24,8.335911,1
2,-75.91,-91.89,7.247749,1
2,-80.47,-94.69,6.830307,1
2,-80.64,-94.09,6.304987,1
2,-74.13,-78.59,6.037636,1
2,-74.75,-91.2,5.606124,1
2,-83.2,-87.99,5.526388,1
2,-82.01,-92.32,5.287179,1
2,-74.91,-84.92,5.348154,1
2,-75.34,-84.35,5.320012,1
2,-75.2,-83.75,5.334083,1
2,-75.83,-85.96,5.343464,1
2,-75.57,-84.22,5.348154,1
2,-82.99,-91.37,5.324702,1
2,-77.4,-93.28,5.320012,1
2,-76.46,-86.8,5.390367,1
2,-77.59,-84.44,5.315321,1
2,-78.21,-95.93,5.399748,1
2,-77.65,-91.25,5.315321,1
2,-79.82,-91.94,5.390367,1
2,-78.66,-99.38,5.03859,1
2,-73.55,-82.84,5.287179,1
2,-74.85,-83.84,5.30125,1
2,-75.76,-83.59,5.287179,1
2,-74.82,-81.31,5.315321,1
2,-73.89,-79.73,5.287179,1
2,-74.11,-80.67,5.273108,1
2,-76.02,-83.6,5.29187,1
2,-75.89,-82.24,5.282489,1
2,-76.42,-82.24,5.29656,1
2,-74.29,-80.33,5.29187,1
2,-74.82,-81.98,5.315321,1
2,-73.71,-80.86,5.357535,1
2,-80.79,-84.52,5.338773,1
2,-78.32,-101.98,4.921332,1
2,-76.78,-85.93,5.329393,1
2,-79.56,-94.35,5.42789,1
2,-79.2,-97.09,5.320012,1
2,-75.43,-86.03,5.404438,1
2,-75,-83.42,5.305941,1
2,-74.36,-83.28,5.362225,1
