tx,rx_rssi,fp_rssi,range,nlos
2,-66.12,-73.98,0.240355,0
2,-63.43,-73.45,0.254426,0
2,-65.96,-77.52,0.254426,0
2,-63.98,-74.11,0.348234,0
2,-63.41,-72.0,0.310711,0
2,-63.1,-72.61,0.151239,0
2,-63.13,-72.27,0.17,0
2,-65.28,-73.03,0.17,0
2,-64.19,-74.2,0.132477,0
2,-66.78,-71.98,0.362305,0
2,-68.02,-72.44,1.244092,0
2,-66.93,-74.01,1.591178,0
2,-68.57,-78.4,1.961716,0
2,-67.14,-74.82,2.046143,0
2,-67.16,-72.49,2.060214,0
2,-68.45,-74.23,2.046143,0
2,-68.55,-72.7,2.168092,0
2,-67.21,-72.74,2.435442,0
2,-67.92,-75.13,2.491727,0
2,-68.92,-76.71,3.073331,0
2,-67.67,-77.71,3.040498,0
2,-68.67,-83.94,2.838813,0
2,-67.81,-77.18,2.918549,0
2,-66.45,-74.93,3.551747,0
2,-67.54,-73.08,4.006712,0
2,-69.12,-77.84,4.977616,0
2,-67.74,-75.18,5.338773,0
2,-68.04,-73.13,5.962591,0
2,-67.91,-76.82,6.22056,0
2,-68.54,-79.08,6.703667,0
2,-69.0,-80.35,7.346246,0
2,-69.5,-83.8,7.730855,0
2,-66.81,-77.18,8.209272,0
2,-67.89,-74.61,8.804947,0
2,-69.05,-90.67,9.822754,0
2,-68.79,-79.65,8.814328,0
2,-68.08,-78.05,7.941921,0
2,-68.68,-73.86,7.308723,0
2,-69.62,-76.5,6.698977,0
2,-67.62,-78.26,6.192418,0
2,-67.69,-74.96,5.484174,0
2,-67.56,-73.6,5.071423,0
2,-66.31,-74.51,4.358489,0
2,-66.79,-73.68,3.814407,0
2,-67.06,-73.65,3.214042,0
2,-67.73,-72.46,2.590224,0
2,-67.4,-76.44,2.233757,0
2,-68.45,-75.07,1.774102,0
2,-68.64,-75.57,2.041452,0
2,-69.58,-80.47,2.351016,0
2,-68.7,-78.03,3.162448,0
2,-68.23,-95.98,4.757169,0
2,-68.9,-89.05,4.588316,0
2,-69.63,-88.47,4.827524,0
2,-68.66,-72.72,5.080804,0
2,-67.47,-72.37,4.90257,0
2,-68.71,-75.35,4.841595,0
2,-68.73,-82.44,5.155849,0
2,-70.49,-93.07,5.82188,0
2,-68.1,-75.16,6.042327,0
2,-67.25,-74.07,6.201799,0
2,-68.52,-75.97,6.900662,0
2,-67.93,-86.08,8.082632,0
2,-67.78,-74.21,7.824662,0
2,-67.82,-73.17,6.849068,0
2,-68.55,-73.78,6.051708,0
2,-67.05,-73.03,5.437271,0
2,-67.61,-72.67,4.808763,0
2,-67.97,-74.15,4.25061,0
2,-67.37,-72.72,3.58927,0
2,-66.78,-72.6,3.092092,0
2,-67.84,-73.85,2.482346,0
2,-70.99,-81.42,1.947645,0
2,-68.96,-83.43,1.572417,0
2,-69.07,-80.52,1.4833,0
2,-67.97,-74.19,1.600559,0
2,-68.19,-76.91,2.13526,0
2,-69.38,-86.76,2.304112,0
2,-69.09,-96.98,4.255301,0
