tx,rx_rssi,fp_rssi,range,nlos
02,-64.12,-71.83,0.517086,0
02,-63.70,-72.37,0.526467,0
02,-63.67,-71.64,0.507706,0
02,-64.91,-73.01,0.545229,0
02,-63.31,-73.55,0.493635,0
02,-63.71,-72.68,0.465492,0
02,-65.12,-73.98,0.474873,0
02,-63.38,-73.19,0.456112,0
02,-63.08,-70.35,0.470183,0
02,-64.24,-71.99,0.488944,0
02,-65.45,-74.66,0.498325,0
02,-65.07,-73.95,0.418589,0
02,-65.12,-73.70,0.549919,0
02,-65.20,-72.22,0.474873,0
02,-64.68,-74.11,0.437350,0
02,-64.84,-71.25,0.521777,0
02,-64.48,-71.74,0.474873,0
02,-64.47,-72.93,0.474873,0
02,-65.11,-73.97,0.399827,0
02,-64.46,-72.62,0.465492,0
02,-64.06,-71.59,0.474873,0
02,-64.74,-74.15,0.479564,0
02,-64.99,-73.96,0.474873,0
02,-65.00,-72.45,0.427970,0
02,-65.46,-74.30,0.484254,0
02,-64.44,-73.02,0.474873,0
02,-65.23,-73.26,0.493635,0
02,-64.77,-73.16,0.507706,0
02,-65.80,-74.70,0.484254,0
02,-66.41,-73.12,0.503015,0
02,-64.78,-72.96,0.418589,0
02,-64.41,-71.73,0.451421,0
02,-64.82,-73.75,0.507706,0
02,-66.71,-73.04,0.521777,0
02,-65.41,-72.17,0.465492,0
02,-67.00,-74.38,0.484254,0
02,-66.81,-72.55,0.667178,0
02,-68.75,-72.67,0.728152,0
02,-68.20,-73.05,0.746914,0
02,-66.83,-72.23,0.803198,0
02,-67.12,-72.91,0.887625,0
02,-68.03,-72.54,0.990812,0
02,-69.05,-72.41,1.051787,0
02,-67.46,-75.25,1.131523,0
02,-65.90,-73.40,1.234711,0
02,-67.34,-85.72,1.108071,0
02,-67.77,-77.97,1.239401,0
02,-67.48,-75.46,1.258163,0
02,-69.41,-74.94,1.234711,0
02,-68.58,-74.92,1.206569,0
02,-67.83,-73.36,1.323828,0
02,-67.21,-77.81,1.290995,0
02,-67.28,-74.62,1.300376,0
02,-69.45,-78.91,1.300376,0
02,-68.10,-74.78,1.281615,0
02,-66.41,-72.17,1.333209,0
02,-66.58,-73.75,1.290995,0
02,-66.54,-72.79,1.328518,0
02,-66.82,-82.02,1.384802,0
02,-67.62,-83.42,1.333209,0
02,-65.49,-74.31,1.417635,0
02,-65.84,-73.76,1.516132,0
02,-64.52,-72.51,1.473919,0
02,-66.08,-72.88,1.436396,0
02,-65.65,-74.52,1.525513,0
02,-64.34,-72.63,1.670914,0
02,-65.00,-74.29,1.741270,0
02,-67.93,-74.95,1.666224,0
02,-66.57,-72.34,1.778792,0
02,-66.96,-74.55,1.783483,0
02,-67.65,-75.06,1.755341,0
02,-69.34,-76.64,1.731889,0
02,-65.79,-72.79,1.713127,0
02,-65.65,-74.03,2.022691,0
02,-66.96,-75.62,1.961716,0
02,-68.09,-85.12,1.924193,0
02,-68.14,-74.96,1.947645,0
02,-67.90,-73.46,2.121188,0
02,-67.67,-73.41,2.013310,0
02,-68.32,-75.13,2.074285,0
02,-67.52,-74.44,1.994549,0
02,-68.64,-75.02,2.078975,0
02,-67.47,-75.97,1.924193,0
02,-66.73,-79.61,1.750650,0
02,-68.00,-91.28,1.628701,0
02,-67.80,-78.79,1.642772,0
02,-67.89,-77.56,1.811625,0
02,-67.83,-78.81,1.872600,0
02,-67.26,-79.12,1.745960,0
02,-68.11,-80.19,1.563036,0
02,-67.93,-75.92,1.577107,0
02,-67.38,-74.03,1.525513,0
02,-67.32,-74.23,1.431706,0
02,-68.15,-77.07,1.441087,0
02,-69.07,-75.99,1.361351,0
02,-65.38,-72.53,1.319137,0
02,-67.26,-77.81,1.187807,0
02,-67.61,-72.04,1.061168,0
02,-65.47,-72.80,0.995503,0
02,-65.73,-71.85,1.014264,0
02,-65.51,-73.77,0.957980,0
02,-66.27,-72.86,0.920457,0
02,-66.70,-72.67,0.859482,0
02,-68.88,-73.09,0.864173,0
02,-66.84,-72.32,0.868863,0
02,-65.11,-74.79,0.831340,0
02,-67.26,-71.92,0.850102,0
02,-66.08,-72.70,0.807889,0
02,-64.13,-72.19,0.732843,0
02,-65.73,-74.16,0.624965,0
02,-66.17,-71.88,0.610894,0
02,-65.66,-73.52,0.488944,0
02,-64.45,-73.48,0.559300,0
02,-67.45,-74.26,0.540538,0
02,-67.38,-72.20,0.549919,0
02,-67.00,-71.61,0.474873,0
02,-66.77,-71.88,0.549919,0
02,-67.77,-72.29,0.531157,0
02,-67.53,-71.58,0.601513,0
02,-66.62,-72.87,0.596822,0
02,-68.07,-72.87,0.648416,0
02,-67.98,-72.59,0.695320,0
02,-67.02,-73.43,0.610894,0
02,-64.60,-71.69,0.723462,0
02,-64.26,-73.70,0.667178,0
02,-64.85,-71.45,0.700010,0
02,-64.43,-72.36,0.690630,0
02,-64.65,-72.81,0.742224,0
02,-63.96,-72.67,0.695320,0
02,-65.00,-72.40,0.723462,0
02,-65.94,-72.48,0.639036,0
02,-66.43,-72.78,0.653107,0
02,-65.01,-71.45,0.714081,0
02,-66.09,-71.86,0.700010,0
02,-66.94,-74.85,0.662487,0
02,-65.14,-73.09,0.751604,0
02,-65.60,-74.35,0.789127,0
02,-64.38,-72.30,0.723462,0
02,-64.92,-72.12,0.765675,0
02,-65.58,-72.46,0.695320,0
02,-65.76,-73.47,0.737533,0
02,-66.56,-74.27,0.690630,0
02,-65.91,-73.08,0.746914,0
02,-65.25,-72.92,0.676559,0
02,-66.95,-73.56,0.582751,0
02,-66.39,-74.51,0.503015,0
02,-66.44,-72.49,0.465492,0
02,-64.54,-72.47,0.446731,0
02,-65.21,-73.00,0.507706,0
02,-64.35,-74.12,0.639036,0
02,-66.97,-72.98,0.587442,0
02,-65.54,-72.30,0.732843,0
02,-66.62,-72.17,0.873554,0
02,-67.23,-71.84,0.934528,0
02,-66.30,-71.04,0.943909,0
02,-65.75,-72.18,0.953290,0
02,-67.53,-73.25,0.957980,0
02,-67.21,-72.39,0.878244,0
02,-67.16,-72.06,0.868863,0
02,-67.27,-74.24,0.939219,0
02,-67.05,-72.55,0.925147,0
02,-66.96,-72.71,0.943909,0
02,-67.22,-74.07,0.929838,0
02,-66.14,-71.52,0.934528,0
02,-67.54,-72.36,0.901696,0
02,-67.88,-71.82,0.967361,0
02,-66.85,-72.66,1.042406,0
02,-67.42,-75.34,1.075239,0
02,-66.72,-72.60,1.108071,0
02,-66.08,-72.14,1.084620,0
02,-66.77,-71.97,1.117452,0
02,-66.85,-72.59,1.136214,0
02,-68.35,-75.79,1.117452,0
02,-67.62,-71.68,1.150285,0
02,-67.39,-73.31,1.187807,0
02,-67.02,-73.43,1.187807,0
02,-66.20,-73.12,1.258163,0
