tx,rx_rssi,fp_rssi,range,nlos
2,-68.73,-75.92,1.412945,0
2,-68.26,-80.97,1.145594,0
2,-67.65,-82.21,1.319137,0
2,-67.21,-77.69,1.122142,0
2,-67.85,-80.24,1.140904,0
2,-68.28,-76.89,1.061168,0
2,-67.62,-79.55,1.037716,0
2,-67.29,-78.63,1.065858,0
2,-68.61,-78.23,1.065858,0
2,-67.44,-77.17,1.140904,0
2,-68.68,-76.38,1.065858,0
2,-68.0,-74.11,1.164356,0
2,-66.66,-76.43,1.206569,0
2,-68.09,-81.68,1.417635,0
2,-67.67,-76.47,1.624011,0
2,-67.56,-79.08,1.947645,0
2,-67.91,-89.68,2.177473,0
2,-68.23,-87.0,2.388539,0
2,-69.0,-79.05,2.608986,0
2,-68.53,-89.21,3.031118,0
2,-67.27,-86.17,3.762813,0
2,-68.35,-97.48,4.499199,0
2,-68.56,-93.1,3.767504,0
2,-67.97,-88.9,4.259991,0
2,-68.48,-85.97,4.363179,0
2,-69.01,-78.32,4.724337,0
2,-67.9,-77.07,5.413819,0
2,-67.79,-79.83,5.460723,0
2,-67.8,-87.54,5.746834,0
2,-66.8,-74.44,6.323748,0
2,-67.58,-95.3,5.770286,0
2,-69.19,-98.31,6.136134,0
2,-67.89,-77.81,6.290916,0
2,-67.46,-77.38,6.173657,0
2,-67.23,-75.29,6.403484,0
2,-67.39,-81.27,6.595789,0
2,-67.27,-76.58,6.87721,0
2,-68.85,-87.91,6.778713,0
2,-68.1,-79.87,7.00385,0
2,-67.34,-82.84,7.214916,0
2,-69.25,-84.8,7.590145,0
2,-67.55,-74.2,7.721475,0
2,-68.69,-73.42,7.744926,0
2,-68.67,-75.73,8.026348,0
2,-66.55,-75.69,8.256175,0
2,-67.37,-76.39,8.607952,0
2,-67.83,-73.59,8.682998,0
2,-66.86,-73.31,8.664236,0
2,-69.2,-74.28,8.593881,0
2,-68.17,-73.56,8.546977,0
2,-66.61,-75.47,8.415647,0
2,-68.98,-75.73,8.138916,0
2,-67.92,-75.2,7.92316,0
2,-67.82,-74.05,7.721475,0
2,-67.62,-74.41,7.458815,0
2,-67.21,-75.48,7.224297,0
2,-67.36,-74.19,6.924114,0
2,-66.79,-75.32,6.722429,0
