tx,rx_rssi,fp_rssi,range,nlos
02,-75.75,-82.45,5.751525,1
02,-77.35,-84.29,5.728073,1
02,-86.01,-89.66,5.751525,1
02,-75.60,-81.36,5.728073,1
02,-77.08,-83.33,5.709311,1
02,-76.56,-83.73,5.737454,1
02,-76.07,-82.32,5.728073,1
02,-76.38,-82.59,5.742144,1
02,-74.64,-79.95,5.690550,1
02,-74.22,-78.31,5.709311,1
02,-74.11,-77.50,5.681169,1
02,-91.39,-94.86,5.901616,1
02,-74.15,-79.09,5.699931,1
02,-77.08,-81.18,5.723383,1
02,-75.38,-78.09,5.723383,1
02,-78.76,-86.75,5.568601,1
02,-76.14,-82.76,5.648337,1
02,-81.37,-92.04,5.446651,1
02,-80.09,-94.65,5.366915,1
02,-78.11,-88.27,5.709311,1
02,-84.90,-89.39,5.798428,1
02,-73.04,-77.92,5.723383,1
02,-74.64,-79.48,5.728073,1
02,-75.64,-79.47,5.643646,1
02,-74.79,-79.52,5.690550,1
02,-74.25,-79.01,5.648337,1
02,-75.57,-82.65,5.676479,1
02,-77.06,-84.12,5.667098,1
02,-76.29,-83.46,5.756215,1
02,-75.38,-80.87,5.760905,1
02,-74.03,-78.57,5.751525,1
02,-74.51,-79.85,5.737454,1
02,-82.21,-87.23,5.746834,1
02,-75.99,-80.90,5.714002,1
02,-75.98,-80.97,5.709311,1
02,-74.61,-79.98,5.732763,1
02,-75.09,-80.34,5.737454,1
02,-85.13,-88.87,5.765596,1
02,-74.59,-79.86,5.746834,1
02,-74.07,-78.75,5.746834,1
02,-76.68,-82.18,5.746834,1
02,-75.36,-80.74,5.728073,1
02,-75.19,-79.89,5.756215,1
02,-85.42,-88.86,5.760905,1
02,-75.27,-80.12,5.756215,1
02,-76.20,-81.75,5.732763,1
02,-73.29,-79.86,5.723383,1
02,-74.23,-79.70,5.709311,1
02,-74.58,-80.40,5.699931,1
02,-75.11,-80.00,5.737454,1
02,-75.33,-80.23,5.709311,1
02,-76.84,-82.00,5.742144,1
02,-74.93,-79.96,5.728073,1
02,-84.91,-88.34,5.714002,1
02,-75.16,-80.96,5.746834,1
02,-75.24,-79.94,5.709311,1
02,-75.36,-80.33,5.685860,1
02,-75.33,-80.02,5.742144,1
02,-74.72,-79.04,5.784357,1
02,-74.58,-80.70,5.718692,1
02,-75.39,-80.94,5.714002,1
02,-73.82,-79.08,5.728073,1
02,-75.85,-82.46,5.910997,1
02,-74.27,-97.31,5.409129,1
02,-72.51,-86.21,5.620195,1
02,-74.92,-97.18,5.685860,1
02,-81.61,-85.44,6.154895,1
02,-73.59,-88.58,5.906306,1
02,-69.77,-73.33,6.516053,1
02,-68.60,-73.62,6.577027,1
02,-73.82,-77.14,6.844378,1
02,-72.43,-78.71,6.994469,1
02,-73.04,-80.90,7.116419,1
02,-78.69,-84.51,7.444744,1
02,-78.81,-81.78,7.458815,1
02,-81.71,-89.39,7.848114,1
02,-95.42,-113.04,7.214916,1
02,-88.78,-102.93,7.411911,1
02,-91.97,-99.94,7.393150,1
02,-90.85,-103.71,7.313414,1
02,-91.00,-102.81,7.524480,1
02,-91.96,-111.93,8.410957,1
02,-89.76,-109.79,9.954084,1
02,-89.47,-101.12,8.312460,1
02,-94.12,-102.00,8.228033,1
02,-90.98,-108.40,8.242104,1
02,-98.76,-107.34,8.898754,1
02,-98.33,-113.06,9.410003,1
02,-95.07,-102.35,8.664236,1
02,-93.67,-105.55,8.772114,1
02,-95.26,-101.23,10.948440,1
02,-98.07,-107.65,10.629496,1
02,-96.00,-104.96,10.685780,1
02,-96.71,-104.48,10.906227,1
02,-95.21,-100.46,11.328359,1
