tx,rx_rssi,fp_rssi,range,nlos
2,-71.83,-84.18,5.9579,1
2,-71.43,-85.12,5.915687,1
2,-72.03,-88.88,5.718692,1
2,-71.14,-89.36,5.760905,1
2,-70.81,-80.13,5.770286,1
2,-70.86,-84.37,5.864093,1
2,-68.4,-78.94,6.361271,1
2,-70.46,-82.4,6.258083,1
2,-69.77,-84.4,6.159586,1
2,-71.66,-80.78,6.811545,1
2,-70.91,-79.89,6.971017,1
2,-71.76,-90.26,6.548885,1
2,-74.13,-99.29,6.956946,1
2,-78.59,-98.78,6.99916,1
2,-75.56,-92.29,7.00854,1
2,-73.19,-89.42,7.00385,1
2,-71.91,-91.21,6.971017,1
2,-78.76,-104.23,7.862185,1
2,-80.12,-99.89,8.931587,1
2,-81.26,-98.86,12.468116,1
2,-78.66,-97.78,12.144481,1
2,-78.14,-104.14,10.071343,1
2,-75.92,-87.3,8.767424,1
2,-77.32,-94.79,8.518835,1
2,-74.48,-103.29,8.528216,1
2,-75.86,-89.61,12.449354,1
2,-77.34,-91.05,12.454045,1
2,-75.09,-91.31,12.191385,1
2,-75.06,-91.35,12.12572,1
2,-77.24,-91.65,12.350857,1
2,-76.74,-102.94,11.323669,1
2,-77.11,-92.28,12.463425,1
2,-75.48,-94.6,11.290836,1
2,-75.04,-105.72,9.747709,1
2,-73.29,-85.14,8.5845,1
2,-74.62,-88.63,8.228033,1
2,-71.3,-83.29,8.631404,1
2,-75.69,-100.02,9.954084,1
2,-72.19,-102.71,9.208318,1
2,-76.77,-93.77,9.714876,1
2,-72.67,-103.85,10.784278,1
2,-75.83,-107.08,12.491567,1
2,-74.91,-101.38,11.961557,1
2,-75.9,-92.93,15.005599,1
2,-75.58,-99.88,15.652868,1
2,-75.16,-104.24,13.368664,1
2,-75.61,-105.81,14.034695,1
2,-79.07,-99.58,14.475588,1
2,-76.88,-106.06,15.240117,1
2,-78.84,-95.67,15.765437,1
2,-76.81,-97.27,16.271995,1
2,-75.32,-104.5,17.665031,1
2,-72.9,-104.32,18.073092,1
2,-77.63,-100.73,18.246635,1
2,-75.77,-91.94,18.926737,1
2,-74.96,-103.7,20.01959,1
2,-75.81,-106.1,22.055205,1
2,-71.58,-88.56,20.371367,1
2,-71.01,-91.27,20.085255,1
2,-72.64,-85.26,19.423915,1
2,-70.92,-81.11,18.650006,1
2,-68.99,-78.56,17.65096,1
2,-70.29,-76.33,17.111569,1
2,-70.35,-75.8,16.73165,1
2,-70.74,-75.86,16.34235,1
2,-70.04,-75.95,15.906147,1
2,-73.47,-87.11,15.127548,1
2,-75.03,-89.66,14.508421,1
2,-76.96,-91.37,14.011243,1
2,-76.58,-93.34,13.462471,1
2,-77.77,-100.04,12.721395,1
2,-78.51,-100.7,12.182004,1
2,-74.75,-101.21,11.637923,1
2,-77.59,-102.45,12.52909,1
2,-77.88,-106.38,10.502856,1
2,-81.72,-102.39,10.000988,1
2,-86.19,-102.85,10.282409,1
2,-85.2,-103.65,9.855587,1
2,-91.21,-106.25,9.588237,1
2,-90.8,-97.8,8.687688,1
2,-87.13,-95.16,8.546977,1
2,-82.27,-95.04,8.392196,1
2,-79.67,-93.2,8.340602,1
2,-86.92,-103.02,9.123891,1
2,-89.34,-98.89,8.335911,1
2,-85.92,-92.66,8.392196,1
2,-85.48,-93.87,8.382815,1
2,-83.71,-92.83,8.44848,1
2,-90.09,-99.99,8.546977,1
2,-85.73,-108.65,9.700805,1
2,-88.97,-107.1,8.007586,1
2,-76.3,-107.27,17.7776,1
2,-85.77,-109.16,17.496178,1
2,-81.87,-106.73,18.518676,1
2,-85.94,-101.61,17.91831,1
2,-88.84,-103.87,18.082473,1
2,-88.06,-104.26,18.091854,1
2,-88.14,-105.77,18.274778,1
2,-87.72,-103.07,18.645316,1
2,-79.76,-104.21,17.899549,1
2,-83.48,-103.0,18.316991,1
2,-81.25,-100.49,18.166899,1
2,-82.67,-102.42,18.134067,1
2,-74.63,-91.11,17.965214,1
2,-74.29,-103.92,18.068402,1
2,-72.45,-80.25,23.148058,1
2,-75.57,-97.87,19.236301,1
2,-77.56,-91.95,19.053377,1
2,-73.36,-91.11,20.28225,1
2,-74.43,-101.27,23.814089,1
2,-83.42,-109.21,23.420099,1
2,-75.27,-98.63,24.428526,1
2,-78.6,-105.62,22.965134,1
2,-75.14,-103.23,23.889135,1
2,-75.64,-105.38,25.057034,1
2,-77.37,-105.65,25.863775,1
2,-80.2,-106.48,26.750252,1
2,-76.5,-96.64,28.631085,1
2,-75.81,-92.48,30.296162,1
2,-81.24,-105.84,27.683633,1
2,-80.55,-101.51,27.946293,1
2,-80.22,-101.13,29.423756,1
2,-81.76,-108.35,30.160142,1
2,-81.81,-106.41,29.7427,1
2,-77.59,-100.53,30.385279,1
2,-77.76,-99.82,31.041929,1
2,-79.74,-101.52,31.431229,1
2,-82.18,-98.93,31.904955,1
2,-83.82,-98.69,32.439655,1
2,-85.12,-101.88,33.138518,1
2,-80.88,-106.43,33.771717,1
2,-87.93,-101.04,36.384245,1
2,-80.86,-100.2,36.97523,1
2,-89.45,-103.0,38.532429,1
2,-88.72,-105.76,38.893586,1
2,-88.63,-94.89,40.239719,1
2,-80.32,-93.04,41.065222,1
2,-78.03,-109.43,39.437668,1
2,-87.28,-95.26,41.083983,1
2,-81.35,-100.01,37.777281,1
2,-78.95,-101.73,37.284794,1
2,-78.45,-98.41,36.801687,1
2,-79.15,-103.2,36.041849,1
2,-79.33,-99.44,35.516529,1
2,-83.68,-99.39,34.761382,1
2,-80.0,-100.67,34.109422,1
2,-81.83,-103.26,33.415249,1
2,-84.32,-101.15,32.707006,1
2,-83.68,-99.12,31.951858,1
2,-83.6,-104.76,30.980954,1
2,-85.33,-101.38,30.389969,1
2,-83.97,-102.33,29.620751,1
2,-79.88,-99.56,28.870294,1
2,-77.55,-97.11,28.204263,1
2,-74.74,-97.73,27.64142,1
2,-78.57,-96.71,27.148933,1
2,-74.95,-98.06,26.389095,1
2,-72.37,-96.59,25.826252,1
2,-72.94,-97.14,25.511998,1
2,-73.35,-94.51,25.258719,1
2,-71.23,-102.79,25.193054,1
2,-87.67,-105.33,23.776566,1
2,-88.31,-107.27,23.415409,1
2,-86.05,-103.93,22.622738,1
2,-79.21,-91.72,22.191225,1
2,-71.07,-90.93,21.492362,1
2,-69.86,-93.09,20.910758,1
2,-70.88,-88.46,20.127468,1
2,-71.19,-90.49,19.583387,1
2,-70.9,-89.42,18.889214,1
2,-70.69,-81.92,18.298229,1
2,-70.6,-88.13,17.890168,1
2,-73.1,-98.91,18.753194,1
2,-80.16,-95.33,18.57027,1
2,-84.3,-98.73,18.490534,1
2,-78.87,-95.92,18.542128,1
2,-78.07,-98.13,18.528057,1
2,-83.41,-100.76,18.523366,1
2,-80.38,-105.85,18.57496,1
2,-74.09,-93.68,17.505559,1
2,-76.38,-98.54,18.209113,1
2,-92.79,-103.2,19.531793,1
2,-89.85,-100.56,17.937072,1
02,-73.94,-95.50,17.214757,1
